,dataset,train_size,test_size,length,unique_classes,tree,accuracy,train_time(ns),test_time(ns),train_time_formatted,test_time_formatted
0,Adiac,390,391,176,37,500,0.797953964,1.09378E+12,14639024424,0:18:14,0:00:15
1,ArrowHead,36,175,251,3,500,0.822857143,30598361669,5996621943,0:00:31,0:00:06
2,Beef,30,30,470,5,500,0.733333333,97070538046,4474174495,0:01:37,0:00:04
3,BeetleFly,20,20,512,2,500,0.95,36286395842,1227812483,0:00:36,0:00:01
4,BirdChicken,20,20,512,2,500,0.9,34997905327,1765164725,0:00:35,0:00:02
6,Car,60,60,577,4,500,0.85,2.63942E+11,7300052112,0:04:24,0:00:07
5,CBF,30,900,128,3,500,0.997777778,8259028653,10246956355,0:00:08,0:00:10
7,ChlorineConcentration,467,3840,166,3,500,0.720572917,1.05928E+12,1.14061E+11,0:17:39,0:01:54
8,CinCECGtorso,40,1380,1639,4,500,0.982608696,1.45853E+12,2.51813E+12,0:24:19,0:41:58
9,Coffee,28,28,286,2,500,1,15644558354,746957311,0:00:16,0:00:01
10,Computers,250,250,720,2,500,0.712,2.9091E+12,52248930609,0:48:29,0:00:52
11,CricketX,390,390,300,12,500,0.797435897,1.81423E+12,2.65247E+11,0:30:14,0:04:25
12,CricketY,390,390,300,12,500,0.802564103,1.83473E+12,2.28908E+11,0:30:35,0:03:49
13,CricketZ,390,390,300,12,500,0.835897436,1.83513E+12,2.73671E+11,0:30:35,0:04:34
14,DiatomSizeReduction,16,306,345,4,500,0.977124183,17180763082,27344205765,0:00:17,0:00:27
15,DistalPhalanxOutlineAgeGroup,400,139,80,3,500,0.741007194,1.43215E+11,2780729527,0:02:23,0:00:03
16,DistalPhalanxOutlineCorrect,600,276,80,2,500,0.786231884,3.07398E+11,3672976633,0:05:07,0:00:04
17,DistalPhalanxTW,400,139,80,6,500,0.683453237,1.33235E+11,4223085744,0:02:13,0:00:04
21,Earthquakes,322,139,512,2,500,0.748201439,3.21671E+12,38823413205,0:53:37,0:00:39
18,ECG200,100,100,96,2,500,0.86,30671514536,1067984041,0:00:31,0:00:01
19,ECG5000,500,4500,140,5,500,0.945777778,3.91814E+11,2.68614E+11,0:06:32,0:04:29
20,ECGFiveDays,23,861,136,2,500,1,5106564891,6947615327,0:00:05,0:00:07
22,ElectricDevices,8926,7711,96,7,500,0.752431591,8.65008E+12,5.54638E+11,2:24:10,0:09:15
23,FaceAll,560,1690,131,14,500,0.84260355,6.68038E+11,2.26992E+11,0:11:08,0:03:47
24,FaceFour,24,88,350,4,500,1,31737517319,2362819258,0:00:32,0:00:02
25,FacesUCR,200,2050,131,14,500,0.964878049,2.05566E+11,2.68563E+11,0:03:26,0:04:29
26,FiftyWords,450,455,270,50,500,0.846153846,3.55218E+12,6.00511E+11,0:59:12,0:10:01
27,Fish,175,175,463,7,500,0.994285714,7.56325E+11,22329649711,0:12:36,0:00:22
28,FordA,3601,1320,500,2,500,0.946969697,5.98507E+13,2.49956E+11,16:37:31,0:04:10
29,FordB,3636,810,500,2,500,0.832098765,6.58432E+13,1.55193E+11,18:17:23,0:02:35
30,GunPoint,50,150,150,2,500,1,15357796096,2214403358,0:00:15,0:00:02
31,Ham,109,105,431,2,500,0.714285714,3.87727E+11,9569558582,0:06:28,0:00:10
32,HandOutlines,1000,370,2709,2,500,0.92972973,3.90915E+14,1.17587E+13,108:35:15,3:15:59
33,Haptics,155,308,1092,5,500,0.516233766,4.11602E+12,3.95028E+11,1:08:36,0:06:35
34,Herring,64,64,512,2,500,0.578125,2.57603E+11,6022604365,0:04:18,0:00:06
35,InlineSkate,100,550,1882,7,500,0.536363636,8.70599E+12,2.71187E+12,2:25:06,0:45:12
36,InsectWingbeatSound,220,1980,256,11,500,0.646464646,5.52859E+11,5.4433E+11,0:09:13,0:09:04
37,ItalyPowerDemand,67,1029,24,2,500,0.971817298,2869877507,2265727954,0:00:03,0:00:02
38,LargeKitchenAppliances,375,375,720,3,500,0.789333333,4.189E+12,2.33087E+11,1:09:49,0:03:53
39,Lightning2,60,61,637,2,500,0.770491803,3.98059E+11,15295655219,0:06:38,0:00:15
40,Lightning7,70,73,319,7,500,0.753424658,1.74459E+11,23684518623,0:02:54,0:00:24
41,Mallat,55,2345,1024,8,500,0.977398721,8.12654E+11,5.00553E+12,0:13:33,1:23:26
42,Meat,60,60,448,3,500,0.9,1.00237E+11,4972455635,0:01:40,0:00:05
43,MedicalImages,381,760,99,10,500,0.797368421,2.32451E+11,57607611222,0:03:52,0:00:58
44,MiddlePhalanxOutlineAgeGroup,400,154,80,3,500,0.590909091,1.44154E+11,3293309424,0:02:24,0:00:03
45,MiddlePhalanxOutlineCorrect,600,291,80,2,500,0.852233677,2.94106E+11,3317695420,0:04:54,0:00:03
46,MiddlePhalanxTW,399,154,80,6,500,0.558441558,1.58239E+11,3668580961,0:02:38,0:00:04
47,MoteStrain,20,1252,84,2,500,0.944089457,3226764019,5603491977,0:00:03,0:00:06
48,NonInvasiveFetalECGThorax1,1800,1965,750,42,500,0.907379135,1.03382E+14,1.85537E+13,28:43:02,5:09:14
49,NonInvasiveFetalECGThorax2,1800,1965,750,42,500,0.944529262,1.01602E+14,1.97928E+13,28:13:22,5:29:53
51,OliveOil,30,30,570,4,500,0.9,92714405257,4169705082,0:01:33,0:00:04
50,OSULeaf,200,242,427,6,500,0.987603306,8.91119E+11,19750570229,0:14:51,0:00:20
52,PhalangesOutlinesCorrect,1800,858,80,2,500,0.848484848,1.54275E+12,10180217654,0:25:43,0:00:10
53,Phoneme,214,1896,1024,39,500,0.360759494,1.98739E+13,3.86775E+13,5:31:14,10:44:38
54,Plane,105,105,144,7,500,1,52970656768,3272257618,0:00:53,0:00:03
55,ProximalPhalanxOutlineAgeGroup,400,205,80,3,500,0.848780488,1.39798E+11,4127565402,0:02:20,0:00:04
56,ProximalPhalanxOutlineCorrect,600,291,80,2,500,0.896907216,3.19004E+11,3791619555,0:05:19,0:00:04
57,ProximalPhalanxTW,400,205,80,6,500,0.814634146,1.51894E+11,6507852843,0:02:32,0:00:07
58,RefrigerationDevices,375,375,720,3,500,0.538666667,5.09148E+12,3.20331E+11,1:24:51,0:05:20
59,ScreenType,375,375,720,3,500,0.504,5.08191E+12,1.62008E+11,1:24:42,0:02:42
60,ShapeletSim,20,180,500,2,500,1,51070220333,10202625536,0:00:51,0:00:10
61,ShapesAll,600,600,512,60,500,0.93,1.768E+13,3.71397E+12,4:54:40,1:01:54
62,SmallKitchenAppliances,375,375,720,3,500,0.816,3.80292E+12,1.65468E+11,1:03:23,0:02:45
63,SonyAIBORobotSurface1,20,601,70,2,500,0.826955075,2358684423,2649269473,0:00:02,0:00:03
64,SonyAIBORobotSurface2,27,953,65,2,500,0.92864638,2656071545,3421512665,0:00:03,0:00:03
65,StarlightCurves,1000,8236,1024,3,500,0.982030112,1.96098E+13,1.03489E+13,5:26:50,2:52:29
66,Strawberry,613,370,235,2,500,0.967567568,1.10867E+12,11347942878,0:18:29,0:00:11
67,SwedishLeaf,500,625,128,15,500,0.9664,4.95294E+11,93131873182,0:08:15,0:01:33
68,Symbols,25,995,398,6,500,0.979899497,45873460200,1.21562E+11,0:00:46,0:02:02
69,SyntheticControl,300,300,60,6,500,1,59629286002,7177321153,0:01:00,0:00:07
70,ToeSegmentation1,40,228,277,2,500,0.969298246,41898179296,6260624941,0:00:42,0:00:06
71,ToeSegmentation2,36,130,343,2,500,0.953846154,42402150431,5236603554,0:00:42,0:00:05
72,Trace,100,100,275,4,500,1,98472189048,10323379561,0:01:38,0:00:10
73,TwoLeadECG,23,1139,82,2,500,0.996488147,3077610228,4212551241,0:00:03,0:00:04
74,TwoPatterns,1000,4000,128,4,500,1,5.91683E+11,2.68053E+11,0:09:52,0:04:28
75,UWaveGestureLibraryAll,896,3582,945,8,500,0.968732552,2.39001E+13,1.3006E+13,6:38:20,3:36:46
76,UWaveGestureLibraryX,896,3582,315,8,500,0.841708543,3.21982E+12,1.34639E+12,0:53:40,0:22:26
77,UWaveGestureLibraryY,896,3582,315,8,500,0.771635958,3.32871E+12,1.35075E+12,0:55:29,0:22:31
78,UWaveGestureLibraryZ,896,3582,315,8,500,0.779731993,3.27593E+12,1.28337E+12,0:54:36,0:21:23
79,Wafer,1000,6164,152,2,500,0.998864374,5.94601E+11,1.09295E+11,0:09:55,0:01:49
80,Wine,57,54,234,2,500,0.888888889,48386274508,1245963395,0:00:48,0:00:01
81,WordSynonyms,267,638,270,25,500,0.786833856,1.169E+12,4.74556E+11,0:19:29,0:07:55
82,Worms,181,77,900,5,500,0.792207792,3.61409E+12,78197015934,1:00:14,0:01:18
83,WormsTwoClass,181,77,900,2,500,0.818181818,3.45322E+12,31431616722,0:57:33,0:00:31
