dataset,accuracy,time_training_transform,time_test_transform,time_training,time_test
ArticularyWordRecognition,0.99333333,22.35,17.95,0.21,0.06
AtrialFibrillation,0.06666667,3.19,2.96,0.02,0.0
BasicMotions,1.0,1.36,1.35,0.03,0.01
CharacterTrajectories,0.99233983,70.1,70.06,2.94,0.23
Cricket,1.0,44.57,29.75,0.08,0.02
DuckDuckGeese,0.5,1317.58,1336.9,0.04,0.02
EigenWorms,0.90839695,906.27,934.45,0.09,0.02
Epilepsy,0.99275362,7.27,7.34,0.09,0.02
ERing,0.97777778,0.63,5.15,0.03,0.04
EthanolConcentration,0.41444867,121.14,123.02,0.17,0.04
FaceDetection,0.62854711,1024.28,612.02,58.0,0.51
FingerMovements,0.55,12.12,3.68,0.24,0.02
HandMovementDirection,0.5,26.98,12.8,0.1,0.01
Handwriting,0.58588235,5.95,32.99,0.1,0.14
Heartbeat,0.75609756,124.84,126.25,0.13,0.03
InsectWingbeat,0.50552,2171.08,2155.8,5434.42,14.33
JapaneseVowels,0.97297297,3.77,5.24,0.22,0.07
Libras,0.90555556,1.79,1.78,0.13,0.03
LSST,0.63422547,27.94,27.82,7.87,0.37
MotorImagery,0.57,1997.34,711.55,0.23,0.02
NATOPS,0.88888889,5.88,6.08,0.13,0.04
PEMS-SF,0.8150289,1574.36,1015.52,0.17,0.03
PenDigits,0.98141795,14.74,6.89,100.92,0.52
PhonemeSpectra,0.27497763,296.32,299.6,14.22,0.58
RacketSports,0.93421053,1.55,1.51,0.11,0.03
SelfRegulationSCP1,0.84982935,75.64,83.14,0.17,0.04
SelfRegulationSCP2,0.54444444,76.56,69.06,0.12,0.02
SpokenArabicDigits,0.99727149,275.06,91.53,74.23,0.35
StandWalkJump,0.53333333,8.29,12.68,0.02,0.0
UWaveGestureLibrary,0.940625,9.05,24.11,0.08,0.04
