id,dataset,classes,length,trainsize,testsize,type,NB,C45,SVML,SVMQ,BN,MLP,Euclidean_1NN,DTW_R1_1NN,DTW_Rn_1NN,DDTW_R1_1NN,DDTW_Rn_1NN,ERP_1NN,LCSS_1NN,MSM_1NN,TWE_1NN,WDDTW_1NN,WDTW_1NN,DD_DTW,DTD_C,DTW_F,LS,FS,BoP,SAXVSM,TSF,TSBF,LPS,ACF,PS,PFr5std,PFr2std,PFr1std,PFr5Train,PFr5TrainStd,PFr5Test,PFr5TestStd,PFr2Train,PFr2TrainStd,PFr2Test,PFr2TestStd,PFr1Train,PFr1TrainStd,PFr1Test,PFr1TestStd,RandF,RotF,ST,BOSS,EE,COTE,PFr5,PFr2,PFr1
0,Adiac,37,176,390,391,IMAGE,0.562659847,0.542199488,0.442455243,0.762148338,0.501278772,0.73657289,0.611253197,0.603580563,0.608695652,0.585677749,0.670076726,0.608695652,0.250639386,0.626598465,0.6342711,0.675191816,0.606138107,0.700767263,0.700767263,0.611253197,0.52173913,0.59335,0.588235294,0.452685422,0.731457801,0.769820972,0.769820972,0.664961637,0.751918159,0.006925864,0.010029286,0.008216935,1329874.369,34739.30152,324591.2824,14477.87899,368018.9312,61727.89854,224320.453,27567.10849,248084.0657,19189.19642,273258.3038,19820.96078,0.636828645,0.774936061,0.782608696,0.764705882,0.664961637,0.79028133,0.734015345,0.732992327,0.718414322
1,ArrowHead,3,251,36,175,IMAGE,0.542857143,0.605714286,0.731428571,0.742857143,0.571428571,0.708571429,0.8,0.702857143,0.8,0.777142857,0.834285714,0.8,0.788571429,0.805714286,0.794285714,0.805714286,0.817142857,0.788571429,0.72,0.76,0.845714286,0.594286,0.737142857,0.788571429,0.725714286,0.754285714,0.782857143,0.645714286,0.474285714,0.006487385,0.010363025,0.009637418,37155.81736,6600.748271,42748.00477,5799.943318,13843.80677,547.0833808,40811.8189,1274.301318,9392.440526,440.6471306,54846.55201,2484.919616,0.714285714,0.737142857,0.737142857,0.834285714,0.811428571,0.811428571,0.875428571,0.858285714,0.844571429
2,Beef,5,470,30,30,SPECTRO,0.666666667,0.533333333,0.9,0.933333333,0.6,0.6,0.666666667,0.633333333,0.666666667,0.666666667,0.7,0.666666667,0.766666667,0.466666667,0.6,0.7,0.7,0.666666667,0.666666667,0.666666667,0.866666667,0.566667,0.6,0.433333333,0.766666667,0.566666667,0.6,0.733333333,0.733333333,0.023306863,0.022498285,0.02744242,123126.0188,26304.12533,29610.645,6485.390347,46387.07445,1982.833696,28354.81152,1934.045521,29567.57578,1196.765843,37231.06258,1677.255574,0.733333333,0.866666667,0.9,0.8,0.633333333,0.866666667,0.72,0.723333333,0.71
3,BeetleFly,2,512,20,20,IMAGE,0.75,0.9,0.8,0.85,0.85,0.8,0.75,0.7,0.65,0.75,0.85,0.75,0.8,0.6,0.7,0.75,0.7,0.65,0.65,0.6,0.8,0.7,0.7,0.9,0.75,0.8,0.8,0.65,0.85,0.042491829,0.042163702,0.055025247,71637.57467,1862.836848,19918.87123,1049.603494,17420.8877,528.936891,11499.45168,521.841701,15377.21582,1193.315029,19929.22913,1136.472136,0.8,0.9,0.9,0.9,0.75,0.8,0.875,0.83,0.745
4,BirdChicken,2,512,20,20,IMAGE,0.55,0.8,0.65,0.8,0.6,0.6,0.55,0.75,0.7,0.85,0.9,0.75,0.8,0.85,0.85,0.85,0.75,0.85,0.8,0.85,0.8,0.75,0.75,1,0.8,0.9,1,0.85,0.95,0.052967495,0.033747428,0.049721446,70741.69451,2620.092151,17751.30486,598.9379282,24750.44701,471.2560381,15389.01327,401.7615537,17226.90458,816.8297643,21213.46011,955.4541927,0.75,0.85,0.8,0.95,0.8,0.9,0.865,0.885,0.855
6,Car,4,577,60,60,SENSOR,0.6,0.566666667,0.85,0.883333333,0.566666667,0.766666667,0.733333333,0.733333333,0.766666667,0.733333333,0.783333333,0.766666667,0.833333333,0.9,0.916666667,0.783333333,0.783333333,0.8,0.783333333,0.85,0.766666667,0.75,0.783333333,0.866666667,0.766666667,0.783333333,0.85,0.583333333,0.7,0.023306863,0.018002057,0.024907235,469253.5355,8895.187974,106492.0943,3450.673071,148480.0308,5707.002163,81463.2209,2919.93994,99084.35092,5351.012641,109724.4264,5878.207237,0.666666667,0.8,0.916666667,0.833333333,0.833333333,0.9,0.846666667,0.841666667,0.821666667
5,CBF,3,128,30,900,SIMULATED,0.895555556,0.673333333,0.877777778,0.875555556,0.854444444,0.894444444,0.852222222,0.996666667,0.994444444,0.592222222,0.572222222,0.997777778,0.99,0.968888889,0.991111111,0.591111111,0.996666667,0.996666667,0.98,0.991111111,0.991111111,0.94,0.924444444,0.956666667,0.994444444,0.987777778,0.998888889,0.598888889,0.555555556,0.002511974,0.003592784,0.003323029,8340.919867,194.6454594,63537.73112,2381.059458,3024.745374,106.2154074,53649.05638,3008.266417,2028.650627,187.1518824,72522.73023,4173.106353,0.89,0.928888889,0.974444444,0.997777778,0.997777778,0.995555556,0.993333333,0.993666667,0.990555556
7,ChlorineConcentration,3,166,467,3840,SIMULATED,0.346354167,0.6875,0.584375,0.92421875,0.598958333,0.861458333,0.65,0.6484375,0.65,0.683072917,0.69765625,0.659895833,0.719791667,0.627604167,0.6484375,0.68984375,0.64921875,0.708072917,0.713020833,0.63359375,0.592447917,0.546354,0.640625,0.654427083,0.719791667,0.692447917,0.607552083,0.661979167,0.722395833,0.003324664,0.002277716,0.002610525,733748.8822,11128.25117,1350672.657,22597.64848,229700.4013,4032.30609,1052411.435,18775.00926,101515.5387,1608.640737,941187.2844,13460.46784,0.7125,0.847395833,0.699739583,0.6609375,0.65625,0.727083333,0.633880208,0.632161458,0.630625
8,CinCECGtorso,4,1639,40,1380,ECG,0.846376812,0.589855072,0.46884058,0.651449275,0.83115942,0.461594203,0.897101449,0.650724638,0.930434783,0.710869565,0.939130435,0.887681159,0.946376812,0.961594203,0.846376812,0.910144928,0.85942029,0.724637681,0.852173913,0.715217391,0.869565217,0.85942,0.713768116,0.770289855,0.982608696,0.712318841,0.736231884,0.797826087,0.870289855,0.008312829,0.008221081,0.010314886,1802170.561,271535.3314,12636636.96,1905920.76,700824.9876,79790.21931,13629900.68,828414.2728,387467.2483,95303.16172,15694552.44,3821254.654,0.738405797,0.805797101,0.954347826,0.886956522,0.942028986,0.994927536,0.934347826,0.92,0.902753623
9,Coffee,2,286,28,28,SPECTRO,0.928571429,0.928571429,1,1,0.964285714,0.964285714,1,1,1,0.928571429,0.964285714,1,1,0.892857143,1,0.964285714,1,1,1,0.964285714,1,0.928571,0.928571429,0.928571429,0.964285714,1,1,1,1,0,0,0,18454.44859,695.5163086,4073.522074,217.7028898,8520.60537,336.0647919,4780.549879,326.2428928,5252.292388,220.9701089,5784.307316,255.0838879,1,1,0.964285714,1,1,1,1,1,1
10,Computers,2,720,250,250,DEVICE,0.58,0.568,0.492,0.54,0.664,0.496,0.576,0.7,0.624,0.668,0.676,0.54,0.644,0.576,0.632,0.608,0.7,0.716,0.716,0.544,0.584,0.5,0.668,0.62,0.72,0.756,0.68,0.6,0.66,0.01312504,0.015668794,0.012899612,4649708.834,72494.10197,1115245.35,30055.68151,1588961.421,398687.389,921026.6645,224854.5656,960823.0314,29202.18148,1113605.824,24544.91189,0.608,0.7,0.736,0.756,0.708,0.74,0.6444,0.6388,0.6168
11,CricketX,12,300,390,390,MOTION,0.379487179,0.274358974,0.38974359,0.484615385,0.312820513,0.505128205,0.576923077,0.753846154,0.779487179,0.630769231,0.630769231,0.764102564,0.730769231,0.764102564,0.748717949,0.641025641,0.78974359,0.753846154,0.753846154,0.764102564,0.741025641,0.484615,0.576923077,0.738461538,0.664102564,0.705128205,0.697435897,0.566666667,0.569230769,0.006139585,0.006816206,0.01084157,2112067.647,91990.29233,444983.5441,21455.45134,685604.4397,61554.46154,368697.8027,16760.92427,411348.9561,73954.76172,471930.6409,82793.15561,0.587179487,0.633333333,0.771794872,0.735897436,0.812820513,0.807692308,0.802051282,0.795384615,0.77974359
